brand,fuel_type,model_date,vehicle_transmission,Car_name,Year,Location,mileage_from_odometer_km,vehicle_engine_cc,price_usd
Honda,Petrol,2016.0,Automatic,Civic ,2016,Islamabad,162000.0,1800.0,15159.04
Daihatsu,Petrol,2019.0,Automatic,Move ,2019,Lahore,77450.0,660.0,12942.8
Toyota,Petrol,2022.0,Automatic,Corolla ,2022,Karachi,17000.0,1600.0,21275.84
Toyota,Petrol,2009.0,Manual,Corolla ,2009,Islamabad,150000.0,1300.0,6382.75
Honda,Petrol,2015.0,Automatic,Civic ,2015,Multan,210000.0,1800.0,10460.62
Suzuki,Petrol,2022.0,Manual,Alto ,2022,Islamabad,3500.0,660.0,9325.91
Honda,Petrol,2007.0,Automatic,Civic ,2007,Karachi,60000.0,1800.0,5230.31
Suzuki,Petrol,2007.0,Automatic,Liana ,2007,Islamabad,100000.0,1500.0,4787.06
Honda,Petrol,1998.0,Automatic,Civic ,1998,Lahore,999999.0,1600.0,3829.65
Toyota,Petrol,2012.0,Manual,Corolla ,2012,Pindi,333333.0,1300.0,7623.84
Toyota,Diesel,1988.0,Manual,Corolla ,1988,Islamabad,123456.0,1500.0,1666.61
Toyota,Petrol,1975.0,Automatic,Crown ,1975,Rawalpindi,848346.0,2200.0,2659.48
Suzuki,Petrol,2002.0,Automatic,Alto ,2002,Quetta,106000.0,660.0,3865.11
Suzuki,Petrol,2009.0,Manual,Jimny ,2009,Daharki,62000.0,1300.0,10283.32
Suzuki,Petrol,2006.0,Manual,Bolan ,2006,Karachi,80000.0,800.0,2003.48
Toyota,Diesel,1982.0,Automatic,Cruiser ,1982,Lahore,200000.0,2000.0,6028.16
Honda,Hybrid,2011.0,Automatic,Fit ,2011,Lahore,78000.0,1300.0,8598.99
Toyota,Petrol,2018.0,Automatic,Passo ,2018,Islamabad,77000.0,1000.0,13120.1
Toyota,Petrol,2017.0,Automatic,Corolla ,2017,Karachi,61000.0,1600.0,14183.89
Honda,Petrol,2001.0,Automatic,Civic ,2001,Lahore,12345.0,1600.0,4219.71
Toyota,Petrol,1986.0,Manual,Corolla ,1986,Islamabad,123456.0,1300.0,2198.5
Honda,Petrol,1988.0,Manual,Civic ,1988,Karachi,99999.0,1600.0,1985.75
Suzuki,Petrol,2005.0,Manual,Cultus ,2005,Sialkot,1000.0,1000.0,2411.26
Daihatsu,Petrol,2002.0,Manual,Kid ,2002,Karachi,123456.0,660.0,3510.51
Honda,Petrol,2000.0,Automatic,Civic ,2000,Peshawar,12345.0,2000.0,3687.81
Honda,Petrol,2011.0,Automatic,Fit ,2011,Karachi,12345.0,1300.0,6737.35
Suzuki,Petrol,1990.0,Manual,Margalla ,1990,Peshawar,99999.0,100.0,1702.07
Toyota,Petrol,1986.0,Manual,Corolla ,1986,Haripur,999999.0,1600.0,1134.71
Suzuki,Petrol,2005.0,Manual,Alto ,2005,Karachi,11111.0,1000.0,1762.35
Toyota,Petrol,2021.0,Automatic,Corolla ,2021,Islamabad,30000.0,1800.0,21187.19
Honda,Petrol,1996.0,Manual,Civic ,1996,Karachi,20000.0,1500.0,2056.66
Suzuki,Petrol,2007.0,Automatic,Alto ,2007,Mardan,97000.0,660.0,5141.66
